Name,M,N,AvgTime,AvgBcastTime,AvgMultTime,AvgReduceTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,ValueType,Type,Strides,TransactionByte,WordSize
al2010,126133,126133,  6.010860,  0.091813,  0.004625,  0.096350,25,0.000000,307620,1.088246,0.153395,4,CUSP,200146,128,32
belgium_osm,720648,720648, 25.253190,  0.516300,  0.005075,  0.637138,25,0.000000,774985,0.780930,0.092106,4,CUSP,519683,128,32
delaunay_n11,1024,1024,  0.383750,  0.003175,  0.003075,  0.006913,25,0.000000,3063,0.167328,0.024328,4,CUSP,1639,128,32
delaunay_n12,2048,2048,  0.349280,  0.004275,  0.003288,  0.010238,25,0.000000,6132,0.361177,0.052376,4,CUSP,3515,128,32
delaunay_n13,4096,4096,  0.352880,  0.004488,  0.003038,  0.011588,25,0.000000,12273,0.720517,0.104608,4,CUSP,7567,128,32
delaunay_n14,8192,8192,  0.883660,  0.007613,  0.003400,  0.018125,25,0.000000,24561,0.574112,0.083324,4,CUSP,15538,128,32
fe_sphere,8193,8193,  0.363710,  0.008525,  0.003263,  0.016663,25,0.000000,24576,1.399225,0.203167,4,CUSP,14749,128,32
hi2010,12508,12508,  0.468840,  0.011375,  0.003613,  0.018838,25,0.000000,31031,1.401280,0.197974,4,CUSP,22871,128,32
id2010,74921,74921,  3.091830,  0.060450,  0.004163,  0.061650,25,0.000000,182066,1.257514,0.177276,4,CUSP,135211,128,32
mi2010,164943,164943, 10.059830,  0.121963,  0.004588,  0.137400,25,0.000000,394522,0.836436,0.117544,4,CUSP,251464,128,32
mt2010,66144,66144,  2.066710,  0.050338,  0.004150,  0.058575,25,0.000000,159667,1.640877,0.230806,4,CUSP,121024,128,32
nc2010,144494,144494,  8.115040,  0.106638,  0.004550,  0.154300,25,0.000000,354155,0.928526,0.131013,4,CUSP,263148,128,32
nh2010,24419,24419,  0.827100,  0.020488,  0.004075,  0.025763,25,0.000000,58637,1.525639,0.214908,4,CUSP,44823,128,32
nm2010,84305,84305,  3.960240,  0.066150,  0.004375,  0.070325,25,0.000000,207742,1.114356,0.157342,4,CUSP,155116,128,32
ny2010,175085,175085, 10.981550,  0.130937,  0.004488,  0.152612,25,0.000000,427386,0.828414,0.116811,4,CUSP,308522,128,32
ok2010,134559,134559,  6.845670,  0.099638,  0.004375,  0.105500,25,0.000000,318537,0.995896,0.139774,4,CUSP,236191,128,32
pa2010,210773,210773, 13.758690,  0.157000,  0.004588,  0.218250,25,0.000000,514615,0.796174,0.112270,4,CUSP,372885,128,32
uk,2412,2412,  0.446560,  0.004138,  0.002975,  0.010413,25,0.000000,3418,0.182685,0.023244,4,CUSP,1983,128,32
ut2010,57703,57703,  1.190620,  0.043300,  0.003963,  0.049038,25,0.000000,143016,2.552683,0.360827,4,CUSP,108830,128,32
amazon0302,131056,131056,  2.086860,  0.094512,  0.004363,  0.122212,25,0.000000,308719,2.274955,0.295425,4,CUSP,307319,128,32
amazon0312,200364,200364,  2.642850,  0.145300,  0.004463,  0.177800,25,0.000000,800110,4.242226,0.605953,4,CUSP,798745,128,32
amazon0601,201697,201697,  2.492040,  0.148687,  0.004513,  0.180150,25,0.000000,846847,4.720369,0.678813,4,CUSP,843869,128,32
ca-CondMat,11567,11567,  1.012190,  0.011588,  0.003625,  0.100237,25,0.000000,46734,0.923787,0.138727,4,CUSP,39479,128,32
delaunay_n24,8388608,8388608,201.535030,  6.047738,  0.015750, 11.781375,25,0.000000,25165800,2.579972,0.374497,4,CUSP,16155388,128,32
hugetrace-00020,8001207,8001207,114.583760,  5.860950,  0.015288, 10.591088,25,0.000000,11999406,2.443795,0.314194,4,CUSP,7498800,128,32
inf-europe_osm,25456009,25456009,312.223370, 18.445812,  0.015175, 35.531050,25,0.000000,27027330,2.210139,0.259648,4,CUSP,17743253,128,32
inf-italy_osm,3343247,3343247, 33.562090,  2.425412,  0.013163,  4.064325,25,0.000000,3506989,2.677905,0.313499,4,CUSP,2312540,128,32
it-2004,20645797,20645797,1747.995560, 11.476813,  0.011713, 21.296850,25,0.000000,287681359,2.086895,0.332068,4,CUSP,288300990,128,32
sk-2005,25318077,25318077,2009.299740, 18.776825,  0.433075, 36.307613,25,0.000000,487353150,3.072257,0.495242,4,CUSP,493290848,128,32
